CORP_NUM,DBA NAME,FIRM_NUM,CORP_NAME_TYP_CD,CORP_NME,TRACKINGNUMBER,addressString,PHYSICALCITY,FACTYPE,LONGITUDE,LATITUDE
149039,Showbiz Pizza Place,FM0185049,CO,THE ORIGINAL HOUSE OF PIES,1Z-5F1-8W2,2262 Burdett Avenue,Victoria,Restaurant,-123.398304,48.343285
143668,Allied Radio,FM0119275,CO,ASIAN JUNCTION,1Z-5A5-114,223 Brew Creek Rd,Whistler,Restaurant,-122.906844,50.186096
103889,Road Runner Lawn Services,FM0373074,CO,PRICE SAVERS,1Z-V74-211,2310 Mesa Vista Drive,Boston Bar,Restaurant,-121.430223,49.832747
173665,Mr. AG's,FM0496095,NB,BEST PRODUCTS,1Z-021-415,3795 Burdett Avenue,Victoria,Restaurant,-123.43914,48.349908
189148,Garden Guru,FM0494440,CO,MCDUFF,1Z-373-4E2,3746 Noble Rd,Cortes Island,Restaurant,-124.861885,50.158668
172124,Knox Lumber,FM0188026,NB,MUIRHEAD'S,1Z-250-Y76,3617 Essendene Avenue,Abbotsford,Restaurant,-122.388766,49.149808
157297,Piccolo Mondo,FM0151084,NB,JEANS UNLIMITED,1Z-264-017,2426 Cordova Street,Vancouver,Restaurant,-123.096645,49.225717
158430,First Choice Yard Help,FM0288757,NB,MUSEUM COMPANY,1Z-2Y6-786,1019 Hardy Street,Kelowna,Restaurant,-119.464391,49.918469
161890,Red Food,FM0291959,NB,HENRY'S HAMBURGERS,1Z-977-603,1004 Robson St,Vancouver,Restaurant,-123.141111,49.276168
171247,Lawnscape Garden Maintenance,FM0287578,CO,BODY TONING,1Z-242-910,3561 Wellington Ave,Chilliwack,Restaurant,-121.928704,49.084206
183827,Little Tavern,FM0133293,CO,WELLS & WADE,1Z-A37-W89,365 Old Spallumcheen Rd,Hope,Restaurant,-121.384717,49.389221
107032,Desmonds Formal Wear,FM0415541,NB,BRENDLE'S,1Z-650-101,47 Noble Rd,Sayward,Restaurant,-125.976403,50.251697
120722,P. Samuels Men's Clothiers,FM0323285,CO,BRITLING CAFETERIAS,1Z-164-146,4764 Jade St,Richmond,Restaurant,-122.902407,49.165132
167599,Castle Realty,FM0225398,CO,HAROLD'S,1Z-Y91-072,3356 Wallace Street,Nanaimo,Restaurant,-123.901311,49.159899
141331,Newmark & Lewis,FM0339147,CO,RECORD WORLD,1Z-438-230,4173 James Street,Burnaby,Restaurant,-123.015039,49.318073
130754,Morrie Mages,FM0104509,CO,THE FOX AND HOUND ,1Z-864-V99,2553 Holdom Avenue,Surrey,Restaurant,-122.793095,49.207543
157210,Fisher Foods,FM0210231,CO,EDWARDS,1Z-609-V36,3924 Roger Street,Duncan,Restaurant,-123.759646,48.70221
182080,Lawnscape Garden Maintenance,FM0388063,CO,GRASS ROOTS YARD SERVICES,1Z-79W-192,616 Scotts Lane,Okanagan Mission,Restaurant,-119.424868,49.724281
143926,American Wholesale Club,FM0247946,NB,PANTRY FOOD STORES,1Z-695-340,3690 Findlay Creek Road,Fairmont Hot Springs,Restaurant,-115.911884,50.251889
159500,Warehouse Club Inc.,FM0286500,CO,MAGIK GREY,1Z-0F5-7V7,1065 Sixth Street,New Westminster,Restaurant,-122.894774,49.26517
178735,Dave Cooks,FM0280130,CO,PANTRY PRIDE,1Z-876-616,2261 Blanshard,Victoria,Restaurant,-123.310254,48.521663
192493,Highland Appliance,FM0256825,CO,SANDY'S,1Z-221-577,4761 King George Hwy,Surrey,Restaurant,-122.916235,49.11967
138791,Old America Stores,FM0309020,CO,EARTHWORKS GARDEN KARE,1Z-434-1F8,4136 Glover Road,Langley,Restaurant,-122.682652,49.155092
184986,Monsource,FM0107889,CO,GAMMA GAS,1Z-8F1-331,735 Wallace Street,Nanaimo,Restaurant,-123.871502,49.108632
